loop
5923FD 4327F4 4327F4 5A23FD 7A19F0 A30EEC CF06F3 D901E7 D901E7 CD06F3 A10FEC 7919F0 640
5220E3 211379 4126EE 5A23FA 7B19E9 A40EE0 D006E2 DB01D5 DB01D5 CF06E2 A30FE0 7919E9 40
351490 020108 281793 5B23F6 7C19E1 A50ED4 D206D1 DD01C2 DD01C2 D106D1 A40FD4 7A19E1 40
080314 000000 010104 3A169A 7C19DA A60EC8 D406BF DF01AF DF01AF D306C0 A50FC8 6715B7 40
000000 000000 000000 04010A 5E129E A80EBB D606AE E1019C E1019C D506AF A10EB5 24073D 40
000000 000000 000000 000000 14041F 9B0DA0 D8069D E30189 E30189 D6069E 790B7F 050108 40
000000 000000 000000 000000 010002 580754 D8068B E50176 E50176 D4068A 3E053B 010001 40
000000 000000 000000 000000 000000 1C0219 CA0571 E70163 E70163 C60670 190216 000000 40
000000 000000 000000 000000 000000 060005 A0044C E90150 E90150 A90552 090107 000000 40
000000 000000 000000 000000 000000 010001 6A0329 E9013D EB013D 860436 030002 000000 40
000000 000000 000000 000000 000000 000000 3C0113 E40129 EB012A 640320 010000 000000 40
000000 000000 000000 000000 000000 000000 1D0107 D60115 E90117 480211 000000 000000 40
000000 000000 000000 000000 000000 000000 0D0002 BF0104 E40105 320108 000000 000000 40
000000 000000 000000 000000 000000 000000 050001 A00103 DA0104 210105 000000 000000 40
000000 000000 000000 000000 000000 000000 020000 7F0002 CE0104 160104 000000 000000 40
000000 000000 000000 000000 000000 000000 010000 610002 BF0104 0F0002 000000 000000 40
000000 000000 000000 000000 000000 000000 000000 480001 AE0103 0A0002 000000 000000 40
000000 000000 000000 000000 000000 000000 000000 340001 9C0103 060001 000000 000000 40
000000 000000 000000 000000 000000 000000 000000 260001 880003 040001 000000 000000 40
000000 000000 000000 000000 000000 000000 000000 1B0001 740002 030000 000000 000000 40
000000 000000 000000 000000 000000 000000 000000 140000 610002 020000 000000 000000 40
000000 000000 000000 000000 000000 000000 000000 0E0000 4F0002 020000 000000 000000 40
000000 000000 000000 000000 000000 000000 000000 0A0000 3E0001 010000 000000 000000 40
000000 000000 000000 000000 000000 000000 000000 070000 2F0001 010000 000000 000000 40
000000 000000 000000 000000 000000 000000 000000 050000 220001 010000 000000 000000 40
000000 000000 000000 000000 000000 000000 000000 030000 170000 000000 000000 000000 40
000000 000000 000000 000000 000000 000000 000000 020000 0F0000 000000 000000 000000 40
000000 000000 000000 000000 000000 000000 000000 010000 080000 000000 000000 000000 40
000000 000000 000000 000000 000000 000000 000000 000000 040000 000000 000000 000000 40
000000 000000 000000 000000 000000 000000 000000 000000 010000 000000 000000 000000 40
000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 000000 360
